date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-09-04,audible_us,best_sellers,1,The Calamity Club,Kathryn Stockett,,,,19890,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-09-04,audible_us,best_sellers,2,Dungeon Crawler Carl,Matt Dinniman,,,,68306,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-09-04,audible_us,best_sellers,3,Carl's Doomsday Scenario,Matt Dinniman,,,,38897,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-09-04,audible_us,best_sellers,4,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,37448,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-09-04,audible_us,best_sellers,5,The Gate of the Feral Gods,Matt Dinniman,,,,30887,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-09-04,audible_us,best_sellers,6,Theo of Golden,Allen Levi,,,,32639,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-09-04,audible_us,best_sellers,7,Mad Mabel,Sally Hepworth,,,,11759,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-09-04,audible_us,best_sellers,8,The Butcher's Masquerade,Matt Dinniman,,,,33440,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-09-04,audible_us,best_sellers,9,The Eye of the Bedlam Bride,Matt Dinniman,,,,23800,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-09-04,audible_us,best_sellers,10,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,17028,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-09-04,audible_us,best_sellers,11,A Parade of Horribles,Matt Dinniman,,,,27892,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-09-04,audible_us,best_sellers,12,This Inevitable Ruin,Matt Dinniman,,,,30250,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-09-04,audible_us,best_sellers,13,Big Little Truths: Reese's Book Club,Liane Moriarty,,,,228,B0GQLNCQ28,https://www.audible.com/pd/Big-Little-Truths-Reeses-Book-Club-Audiobook/B0GQLNCQ28
2026-09-04,audible_us,best_sellers,14,The Knave and the Moon,Rachel Gillig,,,,61,B0FTMVDL29,https://www.audible.com/pd/The-Knave-and-the-Moon-Audiobook/B0FTMVDL29
2026-09-04,audible_us,best_sellers,15,Whistler,Ann Patchett,,,,7610,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
