date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-09-08,audible_us,best_sellers,1,The Calamity Club,Kathryn Stockett,,,,20830,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-09-08,audible_us,best_sellers,2,Dungeon Crawler Carl,Matt Dinniman,,,,68624,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-09-08,audible_us,best_sellers,3,Carl's Doomsday Scenario,Matt Dinniman,,,,39036,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-09-08,audible_us,best_sellers,4,Theo of Golden,Allen Levi,,,,33100,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-09-08,audible_us,best_sellers,5,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,37588,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-09-08,audible_us,best_sellers,6,The Gate of the Feral Gods,Matt Dinniman,,,,31020,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-09-08,audible_us,best_sellers,7,Mad Mabel,Sally Hepworth,,,,12258,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-09-08,audible_us,best_sellers,8,The Butcher's Masquerade,Matt Dinniman,,,,33562,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-09-08,audible_us,best_sellers,9,Big Little Truths: Reese's Book Club,Liane Moriarty,,,,404,B0GQLNCQ28,https://www.audible.com/pd/Big-Little-Truths-Reeses-Book-Club-Audiobook/B0GQLNCQ28
2026-09-08,audible_us,best_sellers,10,The Eye of the Bedlam Bride,Matt Dinniman,,,,23892,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-09-08,audible_us,best_sellers,11,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,17321,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-09-08,audible_us,best_sellers,12,A Parade of Horribles,Matt Dinniman,,,,28169,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-09-08,audible_us,best_sellers,13,This Inevitable Ruin,Matt Dinniman,,,,30341,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-09-08,audible_us,best_sellers,14,Verity,Colleen Hoover,,,,142467,B07Q769RZS,https://www.audible.com/pd/Verity-Audiobook/B07Q769RZS
2026-09-08,audible_us,best_sellers,15,Whistler,Ann Patchett,,,,7935,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
2026-09-08,audible_us,best_sellers,16,Project Hail Mary,Andy Weir,,,,311509,B08G9PRS1K,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K
2026-09-08,audible_us,best_sellers,17,Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),J.K. Rowling,,,,16859,B0F14RPXHR,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Full-Cast-Edition-Audiobook/B0F14RPXHR
2026-09-08,audible_us,best_sellers,18,The Secrets We Hide,Karin Slaughter,,,,2224,B0G1VCWDTT,https://www.audible.com/pd/The-Secrets-We-Hide-Audiobook/B0G1VCWDTT
2026-09-08,audible_us,best_sellers,19,The Let Them Theory,Mel Robbins,,,,29447,B0DFMX1RT8,https://www.audible.com/pd/The-Let-Them-Theory-Audiobook/B0DFMX1RT8
2026-09-08,audible_us,best_sellers,20,The Knave and the Moon,Rachel Gillig,,,,242,B0FTMVDL29,https://www.audible.com/pd/The-Knave-and-the-Moon-Audiobook/B0FTMVDL29
2026-09-08,audible_us,best_sellers,21,Harry Potter and the Chamber of Secrets (Full-Cast Edition),J.K. Rowling,,,,7534,B0F154ZCSN,https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Full-Cast-Edition-Audiobook/B0F154ZCSN
2026-09-08,audible_us,best_sellers,22,The Correspondent,Virginia Evans,,,,30670,B0DG3SGZYN,https://www.audible.com/pd/The-Correspondent-Audiobook/B0DG3SGZYN
2026-09-08,audible_us,best_sellers,23,The Poison Daughter,Sheila Masterson,,,,1143,B0GTNF8NDP,https://www.audible.com/ac/The-Poison-Daughter-Audiobook/B0GTNF8NDP
2026-09-08,audible_us,best_sellers,24,Harry Potter and the Deathly Hallows (Full-Cast Edition),J.K. Rowling,,,,5856,B0F14RVHWN,https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Full-Cast-Edition-Audiobook/B0F14RVHWN
2026-09-08,audible_us,best_sellers,25,Harry Potter and the Prisoner of Azkaban (Full-Cast Edition),J.K. Rowling,,,,6578,B0F14PK33J,https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Full-Cast-Edition-Audiobook/B0F14PK33J
2026-09-08,audible_us,best_sellers,26,Harry Potter and the Goblet of Fire (Full-Cast Edition),J.K. Rowling,,,,5883,B0F14PB6WN,https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Full-Cast-Edition-Audiobook/B0F14PB6WN
2026-09-08,audible_us,best_sellers,27,Harry Potter and the Order of the Phoenix (Full-Cast Edition),J.K. Rowling,,,,5078,B0F14P2632,https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Full-Cast-Edition-Audiobook/B0F14P2632
2026-09-08,audible_us,best_sellers,28,Harry Potter and the Half-Blood Prince (Full-Cast Edition),J.K. Rowling,,,,4405,B0F14KKPH6,https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Full-Cast-Edition-Audiobook/B0F14KKPH6
2026-09-08,audible_us,best_sellers,29,A Court of Thorns and Roses,Sarah J. Maas,,,,79380,B00WRHY15Y,https://www.audible.com/pd/A-Court-of-Thorns-and-Roses-Audiobook/B00WRHY15Y
2026-09-08,audible_us,best_sellers,30,This Is Me,Hayden Panettiere,,,,2408,B0G7LPZDHX,https://www.audible.com/pd/This-Is-Me-Audiobook/B0G7LPZDHX
2026-09-08,audible_us,best_sellers,31,The Counterrevolution,Victor Davis Hanson,,,,,B0GL9FD963,https://www.audible.com/pd/The-Counterrevolution-Audiobook/B0GL9FD963
2026-09-08,audible_us,best_sellers,32,Red Rising,Pierce Brown,,,,81437,B00I2VWW5U,https://www.audible.com/pd/Red-Rising-Audiobook/B00I2VWW5U
2026-09-08,audible_us,best_sellers,33,Queen of Shadows,Sarah J. Maas,,,,22314,B012BTUEVC,https://www.audible.com/pd/Queen-of-Shadows-Audiobook/B012BTUEVC
2026-09-08,audible_us,best_sellers,34,Stop Letting Everything Affect You,Daniel Chidiac,,,,3219,B0FJPBJP4Y,https://www.audible.com/pd/Stop-Letting-Everything-Affect-You-Audiobook/B0FJPBJP4Y
2026-09-08,audible_us,best_sellers,35,Wool,Hugh Howey,,,,6640,B0BKR3Y6SP,https://www.audible.com/pd/Wool-Audiobook/B0BKR3Y6SP
2026-09-08,audible_us,best_sellers,36,The Primal Hunter 15,Zogarth,,,,2607,B0H8ZSFTG9,https://www.audible.com/pd/The-Primal-Hunter-15-Audiobook/B0H8ZSFTG9
2026-09-08,audible_us,best_sellers,37,Throne of Glass,Sarah J. Maas,,,,29482,,https://www.audible.com/pd/Throne-of-Glass-Audiobook/1547607548
2026-09-08,audible_us,best_sellers,38,Burn of the Everflame,Penn Cole,,,,,B0GZBFVNG2,https://www.audible.com/pd/Burn-of-the-Everflame-Audiobook/B0GZBFVNG2
2026-09-08,audible_us,best_sellers,39,The Divorce,Freida McFadden,,,,8166,B0GL9NBTV4,https://www.audible.com/pd/The-Divorce-Audiobook/B0GL9NBTV4
2026-09-08,audible_us,best_sellers,40,Empire of Storms,Sarah J. Maas,,,,34004,B01KIQVHL6,https://www.audible.com/pd/Empire-of-Storms-Audiobook/B01KIQVHL6
