date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-06-14,audible_us,best_sellers,1,Dungeon Crawler Carl,Matt Dinniman,,,,59148,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-06-14,audible_us,best_sellers,2,The Calamity Club,Kathryn Stockett,,,,2095,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-06-14,audible_us,best_sellers,3,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,7516,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-06-14,audible_us,best_sellers,4,Project Hail Mary,Andy Weir,,,,296891,B08G9PRS1K,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K
2026-06-14,audible_us,best_sellers,5,The Divorce,Freida McFadden,,,,2999,B0GL9NBTV4,https://www.audible.com/pd/The-Divorce-Audiobook/B0GL9NBTV4
2026-06-14,audible_us,best_sellers,6,Theo of Golden,Allen Levi,,,,22530,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-06-14,audible_us,best_sellers,7,Carl's Doomsday Scenario,Matt Dinniman,,,,34237,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-06-14,audible_us,best_sellers,8,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,33341,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-06-14,audible_us,best_sellers,9,A Parade of Horribles,Matt Dinniman,,,,18397,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-06-14,audible_us,best_sellers,10,The Deal,Elle Kennedy,,,,5323,B01496UFPA,https://www.audible.com/pd/The-Deal-Audiobook/B01496UFPA
2026-06-14,audible_us,best_sellers,11,The Gate of the Feral Gods,Matt Dinniman,,,,27538,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-06-14,audible_us,best_sellers,12,Whistler,Ann Patchett,,,,453,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
2026-06-14,audible_us,best_sellers,13,The Butcher's Masquerade,Matt Dinniman,,,,30149,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-06-14,audible_us,best_sellers,14,The Eye of the Bedlam Bride,Matt Dinniman,,,,21078,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-06-14,audible_us,best_sellers,15,Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),J.K. Rowling,,,,15258,B0F14RPXHR,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Full-Cast-Edition-Audiobook/B0F14RPXHR
2026-06-14,audible_us,best_sellers,16,This Inevitable Ruin,Matt Dinniman,,,,27810,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-06-14,audible_us,best_sellers,17,Harry Potter and the Deathly Hallows (Full-Cast Edition),J.K. Rowling,,,,3285,B0F14RVHWN,https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Full-Cast-Edition-Audiobook/B0F14RVHWN
2026-06-14,audible_us,best_sellers,18,The Mistake,Elle Kennedy,,,,3942,B01496V4NM,https://www.audible.com/pd/The-Mistake-Audiobook/B01496V4NM
2026-06-14,audible_us,best_sellers,19,The Correspondent,Virginia Evans,,,,26072,B0DG3SGZYN,https://www.audible.com/pd/The-Correspondent-Audiobook/B0DG3SGZYN
2026-06-14,audible_us,best_sellers,20,The Score,Elle Kennedy,,,,3465,B01LZIRXG8,https://www.audible.com/pd/The-Score-Audiobook/B01LZIRXG8
2026-06-14,audible_us,best_sellers,21,Mad Mabel,Sally Hepworth,,,,3003,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-06-14,audible_us,best_sellers,22,Harry Potter and the Chamber of Secrets (Full-Cast Edition),J.K. Rowling,,,,6533,B0F154ZCSN,https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Full-Cast-Edition-Audiobook/B0F154ZCSN
2026-06-14,audible_us,best_sellers,23,The Let Them Theory,Mel Robbins,,,,28189,B0DFMX1RT8,https://www.audible.com/pd/The-Let-Them-Theory-Audiobook/B0DFMX1RT8
2026-06-14,audible_us,best_sellers,24,Harry Potter and the Half-Blood Prince (Full-Cast Edition),J.K. Rowling,,,,3607,B0F14KKPH6,https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Full-Cast-Edition-Audiobook/B0F14KKPH6
2026-06-14,audible_us,best_sellers,25,Harry Potter and the Goblet of Fire (Full-Cast Edition),J.K. Rowling,,,,4986,B0F14PB6WN,https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Full-Cast-Edition-Audiobook/B0F14PB6WN
2026-06-14,audible_us,best_sellers,26,Harry Potter and the Prisoner of Azkaban (Full-Cast Edition),J.K. Rowling,,,,5657,B0F14PK33J,https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Full-Cast-Edition-Audiobook/B0F14PK33J
2026-06-14,audible_us,best_sellers,27,Every Summer After,Carley Fortune,,,,9937,B09FC7KFCN,https://www.audible.com/pd/Every-Summer-After-Audiobook/B09FC7KFCN
2026-06-14,audible_us,best_sellers,28,Harry Potter and the Order of the Phoenix (Full-Cast Edition),J.K. Rowling,,,,4255,B0F14P2632,https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Full-Cast-Edition-Audiobook/B0F14P2632
2026-06-14,audible_us,best_sellers,29,Harvest Season,Brynne Weaver,,,,206,B0FX63Q9Q8,https://www.audible.com/pd/Harvest-Season-Audiobook/B0FX63Q9Q8
2026-06-14,audible_us,best_sellers,30,The Primal Hunter 14,Zogarth,,,,2559,B0H1NGTHHS,https://www.audible.com/pd/The-Primal-Hunter-14-Audiobook/B0H1NGTHHS
2026-06-14,audible_us,best_sellers,31,Light Wielder,Rachel Schneider,,,,229,B0FQFJJTX7,https://www.audible.com/pd/Light-Wielder-Audiobook/B0FQFJJTX7
2026-06-14,audible_us,best_sellers,32,The Final Target,Nora Roberts,,,,1048,B0FMLQ3FRD,https://www.audible.com/pd/The-Final-Target-Audiobook/B0FMLQ3FRD
2026-06-14,audible_us,best_sellers,33,Strangers,Belle Burden,,,,6485,B0F6QNX7XN,https://www.audible.com/pd/Strangers-Audiobook/B0F6QNX7XN
2026-06-14,audible_us,best_sellers,34,Nash Falls,David Baldacci,,,,2471,B0DZG5359Y,https://www.audible.com/pd/Nash-Falls-Audiobook/B0DZG5359Y
2026-06-14,audible_us,best_sellers,35,The Land and Its People,David Sedaris,,,,313,B0G7LL7DKX,https://www.audible.com/pd/The-Land-and-Its-People-Audiobook/B0G7LL7DKX
2026-06-14,audible_us,best_sellers,36,Remarkably Bright Creatures,Shelby Van Pelt,,,,68238,B09DTFJ94X,https://www.audible.com/pd/Remarkably-Bright-Creatures-Audiobook/B09DTFJ94X
2026-06-14,audible_us,best_sellers,37,The Fourth Option,Jack Carr,,,,1255,B0FV3QTZM1,https://www.audible.com/pd/The-Fourth-Option-Audiobook/B0FV3QTZM1
2026-06-14,audible_us,best_sellers,38,The Goal,Elle Kennedy,,,,2503,B06XCFT8LR,https://www.audible.com/pd/The-Goal-Audiobook/B06XCFT8LR
2026-06-14,audible_us,best_sellers,39,The Ballad of Falling Dragons,Sarah A. Parker,,,,727,B0DBWXNRL1,https://www.audible.com/pd/The-Ballad-of-Falling-Dragons-Audiobook/B0DBWXNRL1
2026-06-14,audible_us,best_sellers,40,Dolly All the Time: A GMA Book Club Pick,Annabel Monaghan,,,,583,B0FPGN9D2Y,https://www.audible.com/pd/Dolly-All-the-Time-Audiobook/B0FPGN9D2Y
2026-06-14,audible_us,best_sellers,41,Red Rising,Pierce Brown,,,,80262,B00I2VWW5U,https://www.audible.com/pd/Red-Rising-Audiobook/B00I2VWW5U
2026-06-14,audible_us,best_sellers,42,My Husband's Wife,Alice Feeney,,,,14091,B0F6FJCXM3,https://www.audible.com/pd/My-Husbands-Wife-Audiobook/B0F6FJCXM3
2026-06-14,audible_us,best_sellers,43,Atomic Habits,James Clear,,,,148262,,https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261
2026-06-14,audible_us,best_sellers,44,Stop Letting Everything Affect You,Daniel Chidiac,,,,2354,B0FJPBJP4Y,https://www.audible.com/pd/Stop-Letting-Everything-Affect-You-Audiobook/B0FJPBJP4Y
2026-06-14,audible_us,best_sellers,45,Fourth Wing,Rebecca Yarros,,,,57009,B0BVD25SYT,https://www.audible.com/pd/Fourth-Wing-Audiobook/B0BVD25SYT
2026-06-14,audible_us,best_sellers,46,Ironwood,Michael Connelly,,,,1019,B0G273TJVQ,https://www.audible.com/pd/Ironwood-Audiobook/B0G273TJVQ
2026-06-14,audible_us,best_sellers,47,Brimstone,Callie Hart,,,,15520,B0FBSB7YMB,https://www.audible.com/pd/Brimstone-Audiobook/B0FBSB7YMB
