date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-08-26,yes24,ebook_best,1,[단독] 빵충 사육 준수 사항,김혜영 저,안전가옥,,9.5,,195110473,https://www.yes24.com/product/goods/195110473
2026-08-26,yes24,ebook_best,2,독성 인간,리앤 텐 브링크 저/ 김효정 역,웅진지식하우스,,10.0,,194760909,https://www.yes24.com/product/goods/194760909
2026-08-26,yes24,ebook_best,3,어떻게 살아낼 것인가,"짐 콜린스 저/ 고영훈 , 윤영호 역",필름,,9.6,,195240011,https://www.yes24.com/product/goods/195240011
2026-08-26,yes24,ebook_best,4,오디세이아 (고대 그리스어 완역본),호메로스 저/ 페테르 파울 루벤스 그림/ 박문재 역,현대지성,,9.7,,146281444,https://www.yes24.com/product/goods/146281444
2026-08-26,yes24,ebook_best,5,[단독] 지푸라기 왕관을 쓴 여자,박상영 저,래빗홀,,9.3,,195234654,https://www.yes24.com/product/goods/195234654
2026-08-26,yes24,ebook_best,6,투명한 나선,히가시노 게이고 저 / 김선영 역,북다,,9.7,,195027442,https://www.yes24.com/product/goods/195027442
2026-08-26,yes24,ebook_best,7,찌니주의보,정지아 저,창비,,9.9,,195131395,https://www.yes24.com/product/goods/195131395
2026-08-26,yes24,ebook_best,8,싯다르타 - 세계문학전집 58,헤르만 헤세 저,민음사,,9.5,,11932323,https://www.yes24.com/product/goods/11932323
2026-08-26,yes24,ebook_best,9,그랬다고 적었다,김애란 저,문학동네,,9.7,,195225057,https://www.yes24.com/product/goods/195225057
2026-08-26,yes24,ebook_best,10,문해내공,"신종호 , 김윤정 저",상상스퀘어,,10.0,,195143032,https://www.yes24.com/product/goods/195143032
2026-08-26,yes24,ebook_best,11,2026 에듀윌 SKCT 통합 기본서,에듀윌 취업연구소 편저,에듀윌,,10.0,,182958763,https://www.yes24.com/product/goods/182958763
2026-08-26,yes24,ebook_best,12,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 저/ 한윤진 역,미래의창,,9.4,,122564751,https://www.yes24.com/product/goods/122564751
2026-08-26,yes24,ebook_best,13,코스모스,칼 에드워드 세이건 저,사이언스북스,,9.6,,38003831,https://www.yes24.com/product/goods/38003831
2026-08-26,yes24,ebook_best,14,니체의 초월자,프리드리히 니체 저/ 김철 편역,히읏,,9.7,,177150859,https://www.yes24.com/product/goods/177150859
2026-08-26,yes24,ebook_best,15,절창 切創,구병모 저,문학동네,,9.0,,154212704,https://www.yes24.com/product/goods/154212704
2026-08-26,yes24,ebook_best,16,프로젝트 헤일메리,앤디 위어 저/ 강동혁 역,알에이치코리아(RHK),,9.7,,101619655,https://www.yes24.com/product/goods/101619655
