date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-08-29,audible_us,best_sellers,1,Dungeon Crawler Carl,Matt Dinniman,,,,67796,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-08-29,audible_us,best_sellers,2,The Calamity Club,Kathryn Stockett,,,,18448,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-08-29,audible_us,best_sellers,3,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,37190,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-08-29,audible_us,best_sellers,4,Carl's Doomsday Scenario,Matt Dinniman,,,,38626,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-08-29,audible_us,best_sellers,5,This Inevitable Ruin,Matt Dinniman,,,,30082,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-08-29,audible_us,best_sellers,6,The Butcher's Masquerade,Matt Dinniman,,,,33253,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-08-29,audible_us,best_sellers,7,The Eye of the Bedlam Bride,Matt Dinniman,,,,23622,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-08-29,audible_us,best_sellers,8,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,16445,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-08-29,audible_us,best_sellers,9,The Gate of the Feral Gods,Matt Dinniman,,,,30671,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-08-29,audible_us,best_sellers,10,Theo of Golden,Allen Levi,,,,31924,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-08-29,audible_us,best_sellers,11,A Parade of Horribles,Matt Dinniman,,,,27393,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-08-29,audible_us,best_sellers,12,Project Hail Mary,Andy Weir,,,,310497,B08G9PRS1K,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K
2026-08-29,audible_us,best_sellers,13,Mad Mabel,Sally Hepworth,,,,11036,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-08-29,audible_us,best_sellers,14,Whistler,Ann Patchett,,,,7148,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
2026-08-29,audible_us,best_sellers,15,Red Rising,Pierce Brown,,,,81328,B00I2VWW5U,https://www.audible.com/pd/Red-Rising-Audiobook/B00I2VWW5U
2026-08-29,audible_us,best_sellers,16,The Let Them Theory,Mel Robbins,,,,29329,B0DFMX1RT8,https://www.audible.com/pd/The-Let-Them-Theory-Audiobook/B0DFMX1RT8
2026-08-29,audible_us,best_sellers,17,The Odyssey,Homer,,,,5211,B07GLN33S8,https://www.audible.com/pd/The-Odyssey-Audiobook/B07GLN33S8
